GEOID,Males (1-3),Males (4-8),Males (9-13),Males (14-18),Males (19-30),Males (31-50),Males (51-70),Males (71+),Females (1-3),Females (4-8),Females (9-13),Females (14-18),Females (19-30),Females (31-50),Females (50-70),Females (71+)
2.50E+11,13,4,2,2,351,115,64,9,13,3,6,3,249,112,67,19
2.50E+11,9,5,6,1,121,117,76,23,8,5,7,2,103,94,68,23
2.50E+11,9,0,0,2,137,157,69,10,10,0,1,0,161,165,52,5
2.50E+11,7,2,3,1,122,113,54,24,7,3,3,0,160,87,62,15
2.50E+11,9,11,8,1,111,110,88,17,13,3,6,4,179,104,96,15
2.50E+11,21,10,5,2,98,148,132,43,21,12,10,3,131,139,138,49
2.50E+11,10,2,7,4,123,67,59,13,5,3,2,2,197,73,76,21
2.50E+11,16,12,5,4,95,151,117,52,18,11,4,5,132,151,134,57
2.50E+11,24,5,5,3,143,191,125,53,21,4,1,2,165,213,160,40
2.50E+11,24,7,4,3,207,149,111,32,19,9,11,5,196,128,118,29
2.50E+11,19,11,7,2,292,243,119,27,19,6,5,3,304,220,119,25
2.50E+11,10,6,9,0,64,77,63,29,7,8,5,6,97,97,81,27
2.50E+11,23,13,10,5,49,102,100,41,25,22,14,3,100,121,98,41
2.50E+11,13,13,6,2,92,120,93,46,12,7,8,8,131,165,115,65
2.50E+11,34,16,10,6,104,216,164,60,37,28,17,7,132,208,184,45
2.50E+11,22,27,7,7,159,179,135,28,24,24,12,2,279,206,115,36
2.50E+11,23,6,Null,4,152,188,81,25,23,9,5,4,219,224,98,76
2.50E+11,11,5,7,2,256,142,111,49,12,2,3,3,403,149,65,46
2.50E+11,13,5,4,2,261,200,50,15,17,15,7,1,421,171,59,18
2.50E+11,8,8,4,4,215,168,75,24,12,5,3,2,343,160,74,19
2.50E+11,0,0,0,0,1,16,29,101,0,0,0,0,114,10,20,59
2.50E+11,51,15,2,3,252,307,125,44,26,12,6,2,278,326,154,70
2.50E+11,14,4,6,2,257,163,83,24,15,7,7,2,319,167,95,16
2.50E+11,20,6,2,2,130,198,83,17,17,4,1,0,142,191,49,16
2.50E+11,6,3,1,18,510,401,119,5,9,0,2,1,115,99,52,2
2.50E+11,28,21,13,6,85,174,144,77,32,20,7,9,73,179,191,120
2.50E+11,9,2,4,0,185,144,69,57,12,2,2,3,284,137,72,71
2.50E+11,7,1,3,4,201,118,58,21,6,2,3,2,284,106,51,34
2.50E+11,9,9,9,3,375,229,79,53,13,14,10,1,447,223,91,100
2.50E+11,21,15,5,9,115,217,326,150,26,14,4,6,134,191,350,174
2.50E+11,21,11,8,1,134,298,185,68,26,14,5,0,119,141,116,115
2.50E+11,14,7,2,0,251,216,262,20,16,5,7,3,331,102,50,19
2.50E+11,16,1,0,0,106,143,39,8,7,2,2,0,86,107,29,2
2.50E+11,11,12,4,6,289,211,84,48,18,13,15,7,417,218,106,60
2.50E+11,3,3,1,0,240,114,59,18,5,4,2,2,289,111,51,30
2.50E+11,11,5,4,1,105,90,121,37,13,13,7,0,50,72,133,42
2.50E+11,9,5,1,1,211,134,66,25,6,5,3,2,288,156,87,26
2.50E+11,6,3,1,2,214,98,36,13,10,2,2,1,255,115,37,14
2.50E+11,40,8,10,3,55,161,113,60,29,5,12,5,86,170,127,74
2.50E+11,31,10,10,1,100,261,102,26,35,19,11,8,168,283,109,36
2.50E+11,46,52,37,12,75,56,46,14,54,56,44,17,72,112,63,19
2.50E+11,23,16,13,2,78,139,92,30,33,11,12,5,74,161,85,57
2.50E+11,40,51,41,10,48,91,58,9,40,33,26,12,88,113,68,11
2.50E+11,52,27,10,1,120,254,95,21,59,17,5,2,190,261,99,34
2.50E+11,20,12,3,1,64,135,41,16,23,12,7,2,97,155,44,25
2.50E+11,20,14,8,3,66,128,54,19,14,9,3,7,69,130,53,20
2.50E+11,19,6,4,3,64,126,50,18,15,5,4,3,87,129,67,22
2.50E+11,54,40,41,34,159,244,148,41,47,37,39,21,185,292,207,100
2.50E+11,23,10,9,3,57,135,81,23,22,14,5,4,69,173,76,46
2.50E+11,15,6,8,4,138,146,80,22,18,9,9,8,142,148,88,22
2.50E+11,43,16,19,10,172,322,122,54,40,14,10,11,192,321,176,59
2.50E+11,62,61,47,26,62,110,94,9,56,55,48,28,114,169,103,17
2.50E+11,15,34,34,23,77,80,108,13,25,20,35,22,70,131,115,26
2.50E+11,39,10,6,3,207,332,247,67,42,23,9,6,282,378,279,81
2.50E+11,78,75,62,41,209,319,131,28,65,65,49,31,160,260,98,42
2.50E+11,64,79,43,39,139,165,120,41,62,44,47,30,170,203,163,63
2.50E+11,96,72,54,31,289,373,119,27,79,57,43,24,238,261,125,42
2.50E+11,110,86,71,35,243,368,160,36,110,65,83,41,246,352,145,38
2.50E+11,43,42,27,17,139,198,99,23,56,28,28,21,128,149,95,58
2.50E+11,37,36,24,15,107,163,51,10,47,30,22,13,101,126,38,16
2.50E+11,47,34,27,20,177,224,48,19,52,32,17,16,126,141,46,29
2.50E+11,30,20,23,9,75,152,54,13,29,22,18,13,98,114,38,19
2.50E+11,47,54,62,32,177,116,150,93,44,40,41,33,139,195,190,111
2.50E+11,26,14,15,10,84,157,52,7,23,20,8,5,80,87,40,9
2.50E+11,70,46,26,17,251,353,141,48,45,30,36,20,171,244,135,102
2.50E+11,83,46,44,20,232,435,119,38,67,58,33,25,193,310,102,52
2.50E+11,48,39,26,16,178,259,92,33,45,30,28,24,132,159,83,56
2.50E+11,39,28,18,20,123,204,67,11,30,18,11,11,65,125,33,12
2.50E+11,58,59,47,30,274,379,110,20,69,50,25,31,147,269,72,44
2.50E+11,50,58,30,31,184,282,90,15,41,38,36,16,135,204,94,40
2.50E+11,80,38,31,30,225,288,97,20,73,38,31,21,183,219,70,32
2.50E+11,47,41,31,16,210,286,79,18,59,31,32,26,133,188,63,23
2.50E+11,84,64,43,29,256,391,123,42,85,52,63,36,213,289,122,72
2.50E+11,52,41,27,16,113,154,65,11,42,28,36,17,82,150,68,16
2.50E+11,54,44,43,47,249,336,195,74,47,53,52,33,194,282,228,108
2.50E+11,31,32,34,22,72,88,78,33,39,34,26,22,91,146,136,78
2.50E+11,31,39,24,16,107,183,105,44,45,23,24,23,88,158,93,85
2.50E+11,60,47,54,33,188,304,130,48,53,36,31,23,168,234,136,57
2.50E+11,80,80,75,54,189,239,145,36,68,85,68,50,214,307,178,81
2.50E+11,26,39,44,31,158,246,161,59,28,52,49,21,141,209,175,98
2.50E+11,24,20,23,7,87,129,121,69,23,21,21,19,100,113,135,93
2.50E+11,0,0,0,0,3,8,4,1,2,0,0,0,5,4,3,2
2.50E+11,56,29,37,27,193,281,142,44,58,38,23,21,180,247,107,65
2.50E+11,19,16,10,8,95,187,77,20,17,20,11,8,97,113,76,25
2.50E+11,22,9,10,5,152,122,82,25,18,15,10,7,149,131,83,41
2.50E+11,11,11,4,8,84,91,68,20,10,8,8,5,97,105,71,32
2.50E+11,24,12,13,6,167,135,87,36,8,12,8,12,146,142,122,51
2.50E+11,8,10,2,0,103,104,62,49,8,8,6,3,99,107,82,70
2.50E+11,21,11,9,4,116,132,50,25,20,19,9,1,147,143,75,39
2.50E+11,12,14,20,10,160,161,86,35,23,9,15,7,217,164,110,52
2.50E+11,18,4,12,8,165,167,150,42,17,9,12,14,225,174,142,126
2.50E+11,10,12,8,4,107,95,53,25,10,11,7,6,158,86,70,37
2.50E+11,22,9,10,10,147,200,108,33,16,13,16,10,170,159,110,59
2.50E+11,20,10,10,14,120,160,111,25,20,10,20,13,142,185,111,50
2.50E+11,8,11,21,8,155,151,89,11,17,3,11,13,186,172,98,34
2.50E+11,13,7,5,7,106,103,82,37,12,8,9,7,184,109,89,64
2.50E+11,11,5,10,5,144,159,95,59,13,2,7,5,213,154,101,110
2.50E+11,22,7,8,9,111,116,80,68,15,16,7,6,79,117,64,235
2.50E+11,14,7,8,9,115,124,57,16,14,3,9,4,140,103,50,26
2.50E+11,11,8,7,7,159,146,53,19,11,1,7,4,189,153,69,24
2.50E+11,11,4,5,2,118,155,73,20,13,3,3,2,127,120,48,13
2.50E+11,19,3,12,4,122,84,50,11,12,9,4,8,137,78,58,20
2.50E+11,10,7,8,9,101,109,62,6,12,6,11,4,119,117,63,12
2.50E+11,32,13,7,4,444,498,161,42,30,12,15,8,424,429,171,67
2.50E+11,33,44,46,21,66,40,37,8,33,48,36,29,81,135,70,14
2.50E+11,46,54,75,50,93,79,65,13,41,60,60,42,115,192,135,32
2.50E+11,11,6,8,3,110,114,41,12,17,9,10,4,127,113,51,19
2.50E+11,14,9,4,9,136,130,62,12,12,6,12,8,120,122,72,29
2.50E+11,14,8,8,7,179,164,53,16,12,6,7,5,180,139,60,28
2.50E+11,28,6,18,12,284,324,127,34,32,16,14,6,311,272,129,53
2.50E+11,25,19,6,15,205,158,82,21,22,9,13,9,166,170,82,31
2.50E+11,46,68,49,31,110,80,104,9,59,58,56,34,142,159,131,28
2.50E+11,53,41,38,37,71,63,65,6,47,51,35,33,110,153,81,17
2.50E+11,25,31,23,6,35,70,49,8,35,27,26,15,79,90,67,31
2.50E+11,91,78,85,38,86,181,142,35,58,77,54,44,183,262,159,42
2.50E+11,48,15,10,3,202,477,166,13,35,15,7,5,200,337,154,15
2.50E+11,5,7,4,5,107,112,51,17,8,5,7,3,97,112,55,32
2.50E+11,8,8,8,6,149,172,93,18,18,14,12,9,144,141,83,28
2.50E+11,21,9,7,2,78,256,100,12,25,2,3,1,60,182,84,8
2.50E+11,8,2,0,0,42,20,31,17,3,4,6,2,85,26,35,22
2.50E+11,8,9,5,3,83,46,39,65,9,7,0,0,48,53,44,75
2.50E+11,18,4,5,7,435,182,147,98,23,7,3,2,471,180,163,142
2.50E+11,6,9,1,2,103,88,78,14,7,7,1,0,33,52,41,9
2.50E+11,0,0,0,1,146,24,15,3,0,0,0,0,155,16,6,0
2.50E+11,23,9,10,7,245,190,82,26,20,9,2,5,216,150,64,44
2.50E+11,5,4,2,4,58,108,92,15,15,1,3,0,48,66,28,0
2.50E+11,29,28,29,17,245,249,131,25,25,20,18,22,240,219,133,30
2.50E+11,26,15,32,19,99,134,126,82,23,22,30,30,86,146,154,109
2.50E+11,4,15,17,13,689,73,141,115,11,9,22,11,1042,97,168,198
2.50E+11,11,3,0,0,122,142,153,120,11,4,5,2,113,99,126,154
2.50E+11,13,4,5,5,128,145,93,23,14,3,8,6,111,99,58,18
2.50E+11,28,5,5,3,125,211,140,17,16,7,4,4,142,186,85,14
2.50E+11,25,11,5,0,104,219,175,35,27,10,4,3,130,204,139,28
2.50E+11,23,42,68,54,122,135,191,130,29,42,73,34,131,208,225,216
2.50E+11,34,22,8,7,161,428,203,33,53,21,13,10,223,318,134,32
2.50E+11,29,33,29,21,70,105,109,72,18,24,24,16,82,124,154,89
2.50E+11,40,14,11,2,118,349,183,23,46,19,15,7,160,261,116,29
2.50E+11,30,31,28,19,109,270,158,22,39,33,35,19,159,279,112,25
2.50E+11,32,12,7,7,97,273,156,28,30,11,12,3,143,184,110,22
2.50E+11,26,12,13,3,117,227,161,47,35,17,8,5,108,201,111,22
2.50E+11,31,14,22,17,202,151,105,19,21,18,21,17,175,184,129,35
2.50E+11,32,17,11,12,108,230,128,33,30,23,14,5,131,232,158,36
2.50E+11,34,16,7,7,223,361,137,38,39,12,18,11,229,287,131,44
2.50E+11,23,5,2,4,279,167,76,11,19,11,13,4,219,118,75,14
2.50E+11,32,15,12,3,171,239,102,17,19,15,7,7,161,175,80,17
2.50E+11,50,38,28,22,286,466,176,44,64,43,32,22,288,398,144,65
2.50E+11,40,37,37,15,149,144,112,46,52,49,32,14,142,144,105,45
2.50E+11,26,3,14,4,195,294,125,66,40,14,10,8,275,207,89,128
2.50E+11,24,8,4,3,203,391,183,32,13,11,3,4,231,197,93,24
2.50E+11,19,16,13,8,125,179,84,13,19,11,10,8,115,133,70,8
2.50E+11,53,21,21,10,147,494,306,61,53,23,15,4,150,303,175,63
2.50E+11,56,49,49,27,122,144,81,27,40,57,56,26,115,210,113,60
2.50E+11,35,27,24,23,418,467,131,21,31,32,35,17,101,152,72,25
2.50E+11,22,25,25,19,62,102,59,18,41,18,30,11,81,102,92,31
2.50E+11,79,63,71,46,171,165,134,27,71,59,83,53,208,260,213,66
2.50E+11,49,48,45,23,124,160,105,18,52,41,43,32,147,193,137,48
2.50E+11,57,59,46,26,115,122,135,54,73,44,35,27,164,202,220,66
2.50E+11,42,28,26,22,185,109,64,18,56,37,31,19,166,144,103,26
2.50E+11,98,88,104,54,120,195,163,46,100,92,98,53,197,315,218,79
2.50E+11,28,20,23,24,1363,82,54,7,13,25,22,20,1359,104,57,11
2.50E+11,34,19,31,23,55,41,27,4,25,30,29,27,84,84,68,19
2.50E+11,16,9,9,12,37,55,69,6,14,12,14,13,42,73,69,9
2.50E+11,31,42,66,44,809,85,69,12,45,40,49,42,595,159,96,35
2.50E+11,43,30,58,56,338,127,83,23,46,49,78,51,247,229,170,38
2.50E+11,10,3,6,1,312,149,119,37,11,10,3,1,437,123,113,76
2.50E+11,15,16,16,9,719,84,57,11,17,13,20,15,393,64,50,19
2.50E+11,10,7,2,2,387,83,51,17,12,2,3,2,368,64,48,21
2.50E+11,19,10,17,4,42,99,37,6,23,7,10,5,60,110,50,16
2.50E+11,64,80,66,40,265,172,164,145,63,77,51,45,331,318,272,212
2.50E+11,7,1,2,2,275,78,45,8,6,3,2,1,258,51,34,14
2.50E+11,8,7,9,3,432,110,67,20,8,6,10,6,383,73,53,28
2.50E+11,31,26,19,17,427,117,94,49,28,20,33,14,246,144,111,91
2.50E+11,12,14,13,10,387,195,154,70,13,10,11,7,334,158,157,98
2.50E+11,13,6,16,2,154,109,44,64,15,6,2,1,153,125,47,224
2.50E+11,115,132,108,67,149,139,118,47,105,123,115,67,231,303,219,92
2.50E+11,41,23,27,27,187,167,95,7,27,18,22,23,169,165,113,24
2.50E+11,48,53,78,36,114,174,205,64,55,60,63,40,129,231,240,71
2.50E+11,65,51,55,55,166,185,118,57,62,69,76,54,206,237,184,109
2.50E+11,55,43,34,31,109,146,146,58,44,57,44,22,137,191,161,72
2.50E+11,28,27,28,20,117,129,126,67,22,17,30,12,102,129,134,79
2.50E+11,38,25,18,14,103,113,73,14,23,24,14,10,84,117,90,12
2.50E+11,23,22,17,21,243,144,105,16,20,27,16,27,192,149,105,37
2.50E+11,12,16,23,10,105,98,64,17,20,23,29,20,81,151,88,31
2.50E+11,43,43,56,33,117,142,147,29,38,38,41,44,120,227,176,52
2.50E+11,23,28,31,15,49,73,35,12,26,33,23,20,51,90,77,33
2.50E+11,22,34,49,26,61,98,94,36,19,29,22,17,91,121,106,68
2.50E+11,19,44,46,26,57,95,55,4,30,26,40,29,79,128,74,28
2.50E+11,25,37,38,24,78,81,75,26,40,20,41,23,93,122,118,46
2.50E+11,17,21,19,14,59,75,63,16,18,21,22,10,64,90,98,34
2.50E+11,39,41,31,23,95,140,122,28,48,29,36,25,122,177,155,46
2.50E+11,36,25,37,28,83,132,92,26,32,33,30,16,84,130,105,32
2.50E+11,34,34,25,28,89,67,64,8,46,43,27,20,108,127,80,20
2.50E+11,30,25,33,27,76,90,87,25,20,18,36,15,82,146,139,57
2.50E+11,25,18,26,17,53,56,42,7,32,23,36,24,57,102,77,22
2.50E+11,23,15,14,18,52,72,60,15,17,20,21,22,55,95,75,26
2.50E+11,28,35,38,32,88,101,74,25,41,36,27,31,120,153,127,36
2.50E+11,49,48,46,40,130,127,122,30,44,31,38,39,127,203,154,64
2.50E+11,18,15,26,27,49,81,63,30,15,15,21,15,57,102,96,52
2.50E+11,33,34,19,26,69,74,79,26,29,31,30,14,80,134,126,37
2.50E+11,63,55,57,28,101,111,89,29,56,45,38,27,138,198,150,43
2.50E+11,78,63,76,36,149,122,99,23,70,92,70,56,187,229,169,34
2.50E+11,89,89,98,65,156,190,186,70,104,98,71,57,257,337,277,100
2.50E+11,54,66,47,29,170,160,139,29,76,81,67,33,200,211,191,78
2.50E+11,24,22,13,12,47,64,46,15,12,24,22,15,68,67,64,16
2.50E+11,19,35,28,12,64,81,58,13,19,20,22,21,74,114,90,23
2.50E+11,47,49,51,45,90,125,87,12,39,62,54,36,116,165,100,21
2.50E+11,25,19,23,14,61,76,54,15,20,17,23,15,63,92,72,28
2.50E+11,32,39,27,19,58,70,43,13,30,37,33,20,69,91,68,24
2.50E+11,42,28,28,15,39,66,33,19,29,29,23,18,63,104,61,29
2.50E+11,30,44,60,35,106,100,57,9,33,42,42,40,92,139,83,22
2.50E+11,45,52,50,34,85,94,45,11,48,30,45,23,100,141,68,20
2.50E+11,67,41,51,28,109,165,88,22,65,53,58,33,160,184,141,45
2.50E+11,47,53,33,36,77,84,56,13,60,48,52,27,131,154,82,25
2.50E+11,29,39,40,24,88,90,70,17,32,35,50,32,75,133,87,30
2.50E+11,62,51,50,33,113,135,71,32,52,39,51,35,118,155,113,45
2.50E+11,36,36,37,19,82,90,64,13,33,23,36,30,68,108,66,22
2.50E+11,31,40,36,27,90,102,63,16,28,35,33,17,119,120,91,22
2.50E+11,45,37,56,28,104,99,88,18,43,50,45,48,124,165,116,28
2.50E+11,36,38,45,31,119,171,120,58,40,40,39,32,132,164,132,57
2.50E+11,19,19,33,18,208,207,133,21,22,16,32,20,135,163,132,40
2.50E+11,32,18,17,14,125,195,160,57,19,18,27,15,135,158,178,85
2.50E+11,38,24,31,15,132,190,121,45,26,20,19,25,123,163,114,67
2.50E+11,21,8,5,14,87,109,72,21,20,13,9,7,88,86,74,17
2.50E+11,61,40,61,30,363,166,52,13,42,35,43,27,368,196,106,24
2.50E+11,59,31,21,23,555,206,78,40,31,19,36,26,628,195,112,43
2.50E+11,29,21,15,15,62,117,65,5,20,24,31,14,63,109,46,14
2.50E+11,15,16,14,16,73,118,88,31,19,10,19,16,71,81,90,66
2.50E+11,13,21,10,16,70,94,84,17,14,6,15,10,75,101,106,30
2.50E+11,9,9,6,3,78,120,96,20,9,12,6,7,87,107,70,28
2.50E+11,48,40,31,27,188,259,113,28,36,18,36,22,184,203,121,41
2.50E+11,21,19,22,9,122,189,103,21,27,18,16,11,139,162,97,31
2.50E+11,35,29,29,22,83,162,85,18,24,29,29,13,115,153,74,29
2.50E+11,27,16,19,10,81,145,76,13,25,10,13,17,66,102,73,20
2.50E+11,22,26,22,13,98,141,71,19,24,20,32,13,102,114,81,19
2.50E+11,32,37,31,25,113,163,117,37,37,30,22,17,130,133,105,52
2.50E+11,77,53,35,23,140,218,105,24,72,42,35,30,188,215,128,26
2.50E+11,30,22,21,16,73,136,104,10,26,12,13,12,77,85,90,15
2.50E+11,53,51,51,40,165,181,95,35,45,43,50,37,149,187,151,35
2.50E+11,41,50,59,36,121,130,74,24,25,36,59,34,131,165,108,38
2.50E+11,52,48,49,43,169,256,184,26,52,57,49,35,175,239,178,60
2.50E+11,42,39,58,30,95,113,77,23,41,49,44,29,100,197,96,36
2.50E+11,82,77,76,52,236,282,143,32,76,54,59,43,249,284,175,58
2.50E+11,60,40,49,41,158,176,132,44,51,56,51,46,168,208,163,51
2.50E+11,33,41,29,27,81,99,72,32,38,32,46,24,96,125,80,43
2.50E+11,56,47,49,30,118,160,106,12,46,44,36,38,163,171,102,27
2.50E+11,51,45,44,35,142,168,111,15,45,57,56,36,134,206,103,25
2.50E+11,21,13,19,9,55,84,86,32,14,29,25,10,61,80,78,44
2.50E+11,47,46,56,40,154,161,110,14,45,50,43,44,158,183,130,25
2.50E+11,39,33,42,24,101,112,88,14,48,36,46,22,90,158,108,27
2.50E+11,33,38,33,23,90,95,47,10,34,31,29,20,80,123,71,18
2.50E+11,57,60,60,51,156,188,113,32,46,63,69,45,146,236,147,48
2.50E+11,37,45,41,25,122,107,58,15,29,40,42,40,117,153,97,34
2.50E+11,30,39,33,20,75,123,76,26,42,37,45,27,82,118,97,63
2.50E+11,49,47,58,36,91,108,78,9,46,47,45,29,111,160,105,23
2.50E+11,17,27,33,17,61,80,68,11,25,29,27,21,68,115,87,23
2.50E+11,46,57,73,39,147,181,107,29,78,67,65,45,157,215,164,52
2.50E+11,17,11,24,16,64,62,60,20,11,21,25,19,67,87,63,20
2.50E+11,43,48,43,41,156,211,117,40,47,45,36,30,132,186,149,50
2.50E+11,54,53,64,40,179,245,160,37,56,51,71,46,161,263,212,58
2.50E+11,41,26,35,22,103,110,71,20,47,29,32,25,84,121,88,27
2.50E+11,39,42,28,24,92,152,71,14,26,36,42,30,90,129,101,24
2.50E+11,40,27,40,24,106,174,106,26,33,32,32,23,102,168,133,47
