GEOID,Males (1-3),Males (4-8),Males (9-13),Males (14-18),Males (19-30),Males (31-50),Males (51-70),Males (71+),Females (1-3),Females (4-8),Females (9-13),Females (14-18),Females (19-30),Females (31-50),Females (50-70),Females (71+)
2.50E+11,55,31,17,16,236,247,81,47,38,27,25,18,219,185,94,86
2.50E+11,24,21,16,11,261,143,83,20,16,14,15,4,173,150,68,25
2.50E+11,13,3,6,2,189,116,63,17,12,6,11,9,177,92,46,23
2.50E+11,39,13,14,14,232,148,62,16,33,20,26,10,155,131,54,36
2.50E+11,27,18,20,9,177,128,69,25,19,24,15,11,146,127,83,37
2.50E+11,15,7,15,2,217,110,38,15,13,7,6,5,174,86,52,28
2.50E+11,42,21,14,9,307,164,94,15,44,25,13,7,364,168,83,24
2.50E+11,6,5,6,2,170,101,44,12,12,9,4,7,188,89,57,23
2.50E+11,25,23,23,7,347,210,123,46,26,20,17,14,261,168,115,62
2.50E+11,11,9,8,12,164,147,59,19,10,12,7,5,160,111,61,30
2.50E+11,27,18,12,3,128,108,58,24,24,15,9,2,115,101,62,42
2.50E+11,40,44,42,31,90,49,46,9,38,45,39,38,79,146,66,23
2.50E+11,17,12,15,10,103,117,56,12,5,7,13,8,78,97,60,28
2.50E+11,16,5,7,3,112,124,73,53,20,8,11,5,109,109,69,66
2.50E+11,12,15,2,1,156,93,24,18,4,7,3,3,146,64,28,24
2.50E+11,12,9,12,4,131,92,57,22,9,7,8,3,159,88,77,22
2.50E+11,24,6,16,25,395,205,86,39,24,10,8,33,352,164,99,61
2.50E+11,42,18,26,10,269,207,144,56,26,16,18,8,292,191,178,94
2.50E+11,13,4,3,6,415,204,46,23,17,7,6,4,511,161,52,26
2.50E+11,12,3,4,8,351,127,64,19,20,8,11,9,313,108,59,22
2.50E+11,25,21,17,9,254,118,69,36,27,16,16,7,205,84,75,48
2.50E+11,36,19,12,8,302,119,82,303,25,16,7,8,255,113,144,560
2.50E+11,40,24,22,12,390,169,74,26,46,21,28,5,374,149,102,43
2.50E+11,17,11,10,3,285,114,59,21,9,3,9,3,273,85,59,34
2.50E+11,28,11,10,7,325,149,74,21,15,15,10,7,237,135,58,26
2.50E+11,5,1,3,1,240,100,46,16,7,0,1,2,277,108,62,14
2.50E+11,7,2,3,2,175,93,32,12,6,2,0,1,195,92,63,30
2.50E+11,14,2,3,2,446,193,76,62,16,1,3,1,433,184,79,104
2.50E+11,0,0,0,0,1348,3,1,0,0,0,0,0,1734,0,0,0
2.50E+11,10,2,1,1,225,90,27,2,6,3,1,4,261,93,28,8
2.50E+11,9,4,1,1,366,198,57,34,7,1,2,1,401,221,79,67
2.50E+11,16,9,5,6,245,145,59,56,15,12,9,4,383,151,67,144
2.50E+11,10,5,1,2,321,120,48,103,12,4,3,4,404,125,92,165
2.50E+11,11,4,2,2,371,179,52,19,12,4,1,2,478,156,71,16
2.50E+11,1,0,0,0,215,21,32,75,4,0,0,0,321,30,52,109
2.50E+11,11,5,10,6,150,83,51,33,9,9,5,3,95,62,82,148
2.50E+11,18,9,7,24,246,154,89,24,17,7,5,3,253,117,68,36
2.50E+11,11,4,3,3,175,82,49,17,9,4,4,5,159,60,44,35
2.50E+11,30,8,11,6,266,177,64,16,32,9,5,3,218,136,70,17
2.50E+11,21,8,10,7,452,186,67,37,14,7,8,13,339,163,81,44
2.50E+11,8,7,4,2,298,99,68,47,8,4,2,6,275,100,107,76
2.50E+11,49,58,49,29,145,140,107,45,42,40,49,31,164,196,154,108
2.50E+11,7,1,1,0,299,123,20,6,1,0,3,0,276,85,18,5
2.50E+11,10,7,8,1,236,52,31,2,3,0,3,1,171,38,14,4
2.50E+11,4,2,2,2,139,68,21,10,6,3,4,0,231,58,32,17
2.50E+11,13,3,4,4,275,95,56,13,9,2,5,3,281,83,51,25
2.50E+11,9,3,7,5,449,194,41,15,12,5,2,17,513,163,47,17
2.50E+11,9,3,0,2,450,120,60,4,8,2,1,1,555,73,19,1
2.50E+11,9,2,2,3,591,97,34,5,9,2,1,4,611,80,25,8
2.50E+11,16,6,4,5,644,184,64,15,12,2,4,5,611,128,51,12
2.50E+11,6,2,0,1,232,99,26,11,4,1,0,0,281,67,32,8
2.50E+11,14,2,4,4,376,135,37,15,10,3,1,4,387,99,26,18
2.50E+11,36,19,13,7,246,141,79,15,16,15,16,11,259,134,107,19
2.50E+11,6,7,0,5,639,70,35,18,7,4,3,3,402,50,40,16
2.50E+11,44,40,36,23,700,370,107,7,55,46,32,19,487,239,72,13
2.50E+11,18,10,10,10,222,141,49,14,27,12,8,9,133,94,46,14
2.50E+11,42,30,25,20,450,377,154,33,30,22,18,10,331,198,107,56
2.50E+11,14,3,1,2,689,118,47,25,8,4,4,4,691,95,79,37
2.50E+11,48,17,16,10,1191,146,67,23,39,22,19,15,1252,127,69,42
2.50E+11,0,0,0,1,1358,0,2,0,0,0,0,2,2115,3,0,0
2.50E+11,1,0,0,0,751,45,12,7,2,2,0,6,1237,34,8,6
2.50E+11,0,0,0,6,489,13,3,0,0,0,0,0,622,5,1,5
2.50E+11,0,0,0,1,469,11,7,3,0,0,0,1,810,10,2,0
2.50E+11,26,8,3,1,332,167,73,16,15,7,3,2,375,198,61,24
2.50E+11,9,1,1,3,933,122,39,9,4,0,1,2,1024,96,41,14
2.50E+11,3,0,1,3,254,90,43,70,3,5,2,0,397,104,86,133
2.50E+11,0,0,0,0,501,95,42,7,2,1,0,0,414,51,23,8
2.50E+11,35,0,13,6,651,364,73,15,28,12,8,0,788,307,45,24
2.50E+11,7,1,2,5,344,247,88,69,5,0,3,0,425,180,78,109
2.50E+11,6,7,5,3,109,46,47,12,8,7,3,2,125,55,40,18
2.50E+11,2,0,0,0,407,18,10,1,3,0,1,1,634,16,4,1
2.50E+11,6,3,0,2,470,83,33,9,3,2,1,1,478,70,26,10
2.50E+11,0,0,2,2,302,61,34,4,2,0,0,0,401,56,13,1
2.50E+11,15,11,9,18,859,60,35,14,17,9,14,8,624,56,40,21
2.50E+11,1,1,1,7,566,51,8,1,2,0,0,21,2339,43,10,0
2.50E+11,3,1,6,3,358,108,66,69,14,6,8,2,350,77,71,94
2.50E+11,2,6,3,1,397,107,54,13,8,6,5,1,264,92,50,11
2.50E+11,8,1,1,3,130,137,69,31,13,1,0,3,129,110,54,57
2.50E+11,10,6,2,3,999,93,54,11,7,11,5,3,1002,82,49,16
2.50E+11,1,0,0,0,1080,73,20,2,1,0,0,8,1337,22,3,1
2.50E+11,2,3,3,1,302,35,22,17,5,4,4,5,442,28,27,16
2.50E+11,7,1,1,0,1120,48,43,3,12,1,0,1,1348,4,2,0
2.50E+11,10,5,11,2,994,67,85,24,11,4,5,8,943,55,57,24
2.50E+11,4,9,4,6,94,46,57,62,3,7,3,5,101,43,59,123
2.50E+11,10,3,5,5,418,208,57,11,11,7,4,1,475,173,30,8
2.50E+11,1,0,0,5,448,72,16,2,2,0,0,1,342,49,11,4
2.50E+11,9,4,2,2,258,81,56,64,10,2,0,0,323,95,64,129
2.50E+11,20,5,5,5,142,155,92,43,21,6,12,3,222,136,69,56
2.50E+11,16,5,9,2,187,291,144,83,44,5,1,1,222,248,188,113
2.50E+11,39,6,1,1,143,262,140,51,30,14,4,1,198,203,131,75
